순번	대학(원)	학과(부)	학년	이수구분	학수번호	교과목명	교과목명(영문)	담당교수	강의실	시간표	수업방법관리	Teaching Method	학점
1	인문대학	국어국문학과	전학년	전공선택	0009062002	RISE	RISE	조현우	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:월(야1-2A)(야2B-3)]	오프라인	offline class	3
2	인문대학	국어국문학과	전학년	전공선택	0009062003	RISE	RISE	안소진	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:월(야1-2A)(야2B-3)]	오프라인	offline class	3
3	인문대학	국어국문학과	1	전공기초	0007800066	자기설계세미나 I	Self - Design Seminar I	안소진	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:화(2)]	오프라인	offline class	1
4	인문대학	국어국문학과	1	전공기초	0007800067	자기설계세미나 I	Self - Design Seminar I	김정경	제15호관 인문대학-405 대학원세미나실[SP405]	 [SP405:화(2)]	오프라인	offline class	1
5	인문대학	국어국문학과	1	전공기초	0007800068	자기설계세미나 I	Self - Design Seminar I	노지승	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:화(2)]	오프라인	offline class	1
6	인문대학	국어국문학과	1	전공기초	0008645001	고전과삶	Classics and Life	김정경	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:목(2)(3)]	오프라인	offline class	2
7	인문대학	국어국문학과	1	전공기초	AI01001001	한국문학의이해	UNDERSTANDING OF KOREAN LITERATURE	노지승	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:월(5)(6)]	오프라인	offline class	2
8	인문대학	국어국문학과	1	전공기초	AIA6086001	언어와인간	LINGUISTICS AND HUMAN	안소진	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:수(6)(7)]	오프라인	offline class	2
9	인문대학	국어국문학과	1	전공선택	0000037001	2급한국어(2)	Level 2 Korean(2)	최주희	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:금(1-2A)(2B-3)]	오프라인	offline class	3
10	인문대학	국어국문학과	1	전공선택	0000039001	3급한국어(2)	Level 3 Korean(2)	정미진	제15호관 인문대학-115 어학원강의실-2[SP115]	 [SP115:월(1-2A)(2B-3)]	오프라인	offline class	3
11	인문대학	국어국문학과	1	전공선택	0000064001	3급한국어연습(2)	Level 3 Korean Practice(2)	정미진	제15호관 인문대학-115 어학원강의실-2[SP115]	 [SP115:수(1-2A)(2B-3)]	오프라인	offline class	3
12	인문대학	국어국문학과	1	전공선택	0000552001	1급한국어(2)	Level 1 Korean 2	이혜경	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:월(7-8A)(8B-9)]	오프라인	offline class	3
13	인문대학	국어국문학과	1	전공선택	0000554001	1급한국어연습(2)	Level 1 Korean Practice 2	송원용	제15호관 인문대학-503 전용어학실습실-3[SP503]	" [SP503:월(5B-6),수(8B-9)]"	오프라인	offline class	3
14	인문대학	국어국문학과	2	전공필수	0004895001	한국의언어	The Korean Language	하신영	제15호관 인문대학-119 강의실(중)-1[SP119]	" [SP119:화(8B-9),목(5B-6)]"	온라인(동영상+화상)	online class	3
15	인문대학	국어국문학과	2	전공필수	0004906001	현대문학사1	History of Korean Modern Literature 1	고지혜	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:목(7-8A)(8B-9)]	온라인(동영상+화상)	online class	3
16	인문대학	국어국문학과	2	전공선택	0000041001	4급한국어(2)	Level 4 Korean(2)	정미진	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:화(1-2A)(2B-3)]	오프라인	offline class	3
17	인문대학	국어국문학과	2	전공선택	0000044001	5급한국어(2)	Level 5 Korean(2)	오민석	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:금(5B-6)(7-8A)]	오프라인	offline class	3
18	인문대학	국어국문학과	2	전공선택	0000066001	4급한국어연습(2)	Level 4 Korean Practice(2)	김선영	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:수(1-2A)(2B-3)]	오프라인	offline class	3
19	인문대학	국어국문학과	2	전공선택	0004896001	현대희곡론	Study of Korean Modern drama	한현주	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:화(4-5A)(5B-6)]	오프라인	offline class	3
20	인문대학	국어국문학과	2	전공선택	0004907001	고전시가의이해	Understanding of Korean Classical Poetry 	배은희	제15호관 인문대학-115 어학원강의실-2[SP115]	 [SP115:월(5B-6)(7-8A)]	오프라인	offline class	3
21	인문대학	국어국문학과	2	전공선택	0008646001	한국한문의이해	Understanding of Chinese Classics	이채은	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:월(1-2A)(2B-3)]	오프라인	offline class	3
22	인문대학	국어국문학과	2	전공선택	AIA6129001	시창작실기	PRACTICAL POETRY CREATIVE	김영식	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:수(5B-6)(7-8A)]	오프라인	offline class	3
23	인문대학	국어국문학과	3	전공선택	0004855001	한국어문법교육론	Pedagogy of Korean Grammar	유민애	제15호관 인문대학-119 강의실(중)-1[SP119]	 [SP119:금(2B-3)(4-5A)]	오프라인	offline class	3
24	인문대학	국어국문학과	3	전공선택	0004862001	제2언어습득론	Second Language Acquisition	송원용	제15호관 인문대학-503 전용어학실습실-3[SP503]	" [SP503:화(8B-9),목(5B-6)]"	오프라인	offline class	3
25	인문대학	국어국문학과	3	전공선택	0004901001	한국문학과영화	Korean Literature and film 	노지승	"제15호관 인문대학-119 강의실(중)-1[SP119], 제15호관 인문대학-503 전용어학실습실-3[SP503]"	 [SP119:월(8B-9)] [SP503:화(7-8A)]	오프라인	offline class	3
26	인문대학	국어국문학과	3	전공선택	0004902001	동아시아고전텍스트읽기	Readings in East Asian Classics	이채은	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:월(5B-6)(7-8A)]	오프라인	offline class	3
27	인문대학	국어국문학과	3	전공선택	0004917001	한국어의어문규범	Norm of Korean Language	이상욱	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:목(7-8A)(8B-9)]	오프라인	offline class	3
28	인문대학	국어국문학과	3	전공선택	0006975001	한국어 이해의 기초(2)	Basic of Korean Comprehension(2)	김대복	제15호관 인문대학-115 어학원강의실-2[SP115]	 [SP115:화(1-2A)(2B-3)]	오프라인	offline class	3
29	인문대학	국어국문학과	3	전공선택	0006976001	한국어 표현의 기초(2)	Basic of Korean Expression(2)	김대복	제15호관 인문대학-115 어학원강의실-2[SP115]	 [SP115:금(5B-6)(7-8A)]	오프라인	offline class	3
30	인문대학	국어국문학과	3	전공선택	0009346001	스토리텔링의이해	Understanding of Storytelling	이해진	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:금(5B-6)(7-8A)]	오프라인	offline class	3
31	인문대학	국어국문학과	3	전공선택	AIA6045001	현대시론	STUDY OF MODERN POETRY	전병준	제15호관 인문대학-503 전용어학실습실-3[SP503]	" [SP503:월(4-5A),목(2B-3)]"	오프라인	offline class	3
32	인문대학	국어국문학과	4	전공선택	0004884001	문학비평연습	Seminar on Literary Criticism	김영식	제15호관 인문대학-503 전용어학실습실-3[SP503]	 [SP503:수(2B-3)(4-5A)]	오프라인	offline class	3
33	인문대학	국어국문학과	4	전공선택	0004908001	한국어의사소통의이해	Understanding of Communication in Korean	김선영	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:수(5B-6)(7-8A)]	오프라인	offline class	3
34	인문대학	국어국문학과	4	전공선택	0006978001	한국어 이해의 심화(2)	Advanced Course of Korean Comprehension(2)	김대복	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:월(1-2A)(2B-3)]	오프라인	offline class	3
35	인문대학	국어국문학과	4	전공선택	0006979001	한국어 표현의 심화(2)	Advanced Course of Korean Expression(2)	최주희	제15호관 인문대학-120 어학원강의실-1[SP120]	 [SP120:금(5B-6)(7-8A)]	오프라인	offline class	3
36	인문대학	국어국문학과	4	전공선택	0008647001	한국고전문학과여성	Korean Classical Literature and Women	김정경	"제15호관 인문대학-119 강의실(중)-1[SP119], 제15호관 인문대학-120 어학원강의실-1[SP120]"	 [SP119:수(8B-9)] [SP120:목(5B-6)]	오프라인	offline class	3
37	인문대학	영어영문학과	전학년	전공선택	0009062004	RISE	RISE	이용화	-	-	온라인(화상)	online class	3
38	인문대학	영어영문학과	전학년	전공선택	0009062005	RISE	RISE	전신화	-	-	온라인(동영상+화상)	online class	3
39	인문대학	영어영문학과	전학년	전공선택	0009062006	RISE	RISE	정채관	-	-	온라인(동영상+화상)	online class	3
40	인문대학	영어영문학과	1	전공기초	0007800086	자기설계세미나 I	Self - Design Seminar I	신나미	제15호관 인문대학-301 대학원강의실[SP301]	 [SP301:수(5)]	오프라인	offline class	1
41	인문대학	영어영문학과	1	전공기초	0007800087	자기설계세미나 I	Self - Design Seminar I	전신화	제15호관 인문대학-116 강의실(대)-2[SP116]	 [SP116:수(5)]	오프라인	offline class	1
42	인문대학	영어영문학과	1	전공기초	0007800088	자기설계세미나 I	Self - Design Seminar I	윤소연	제15호관 인문대학-403 전용어학실습실-3[SP403]	 [SP403:수(5)]	오프라인	offline class	1
43	인문대학	영어영문학과	1	전공기초	0007800089	자기설계세미나 I	Self - Design Seminar I	정채관	제15호관 인문대학-403 전용어학실습실-3[SP403]	 [SP403:화(1)]	온라인(동영상+화상)	online class	1
44	인문대학	영어영문학과	1	전공필수	AIB6093001	영어회화(1)	ENGLISH CONVERSATION(1)	알라나 커밍스	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:수(1),금(1)]"	오프라인	offline class	1
45	인문대학	영어영문학과	1	전공필수	AIB6093002	영어회화(1)	ENGLISH CONVERSATION(1)	알라나 커밍스	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:수(6),금(7)]"	오프라인	offline class	1
46	인문대학	영어영문학과	1	전공필수	AIB6093003	영어회화(1)	ENGLISH CONVERSATION(1)	윌리엄 데이비스	"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-405 대학원세미나실[SP405]"	 [SP116:금(1)] [SP405:수(1)]	오프라인	offline class	1
47	인문대학	영어영문학과	1	전공필수	AIB6093004	영어회화(1)	ENGLISH CONVERSATION(1)	윌리엄 데이비스	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:수(6),금(7)]"	오프라인	offline class	1
48	인문대학	영어영문학과	1	전공선택	0006969001	영문법의이해	Understanding of English Grammar	하연희	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:화(2B-3),수(2B-3)]"	온라인(화상)	online class	3
49	인문대학	영어영문학과	1	전공선택	0007859001	영문학의기초	Foundations of English Literature	신나미	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:화(8B-9),목(8B-9)]"	오프라인	offline class	3
50	인문대학	영어영문학과	1	전공선택	0007859002	영문학의기초	Foundations of English Literature	신나미	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:수(8B-9),금(4-5A)]"	오프라인	offline class	3
51	인문대학	영어영문학과	1	전공선택	AIB6103001	실용영어(1)	PRACTICAL ENGLISH(1)	정채관	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:화(7-8A),금(2B-3)]"	온라인(동영상+화상)	online class	3
52	인문대학	영어영문학과	2	전공기초	AIB6007001	영어회화(3)	ENGLISH CONVERSATION(3)	윌리엄 데이비스	제15호관 인문대학-317 교육통계실습실[SP317]	 [SP317:금(3)(4)]	오프라인	offline class	1
53	인문대학	영어영문학과	2	전공기초	AIB6097001	영작문(2)	ENGLISH COMPOSITION2	알라나 커밍스	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:월(1),목(1)]"	오프라인	offline class	1
54	인문대학	영어영문학과	2	전공기초	AIB6097002	영작문(2)	ENGLISH COMPOSITION2	윌리엄 데이비스	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:월(1),목(1)]"	오프라인	offline class	1
55	인문대학	영어영문학과	2	전공필수	AIB6001001	영어학입문	INTRODUCTORY ENGLISH LIGUISTICS	김정태	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:월(4-5A),화(2B-3)]"	오프라인	offline class	3
56	인문대학	영어영문학과	2	전공필수	AIB6001002	영어학입문	INTRODUCTORY ENGLISH LIGUISTICS	김정태	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:월(7-8A),목(4-5A)]"	오프라인	offline class	3
57	인문대학	영어영문학과	2	전공선택	0004274001	통번역기초	Indroduction to English Interpretation & Translation	하연희	"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"	 [SP116:수(1-2A)] [SP403:화(4-5A)]	온라인(화상)	online class	3
58	인문대학	영어영문학과	2	전공선택	0006943001	영어어휘의미론	Theory of English Lexical Semantics	윤소연	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:월(5B-6),목(7-8A)]"	오프라인	offline class	3
59	인문대학	영어영문학과	2	전공선택	0006945001	아동&청소년문학	Literature of Children and Youth	전신화	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:화(6)(7),목(6)]"	오프라인	offline class	3
60	인문대학	영어영문학과	2	전공선택	AIB6003001	영미단편소설	ENGLISH AND AMERICAN SHORT STORIES	이난희	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:화(8B-9),금(8B-9)]"	온라인(동영상+화상)	online class	3
61	인문대학	영어영문학과	2	전공선택	AIB6011001	희곡개론	INTRODUCTION TO DRAMA	황승현	제15호관 인문대학-403 전용어학실습실-3[SP403]	" [SP403:월(2B-3),목(2B-3)]"	오프라인	offline class	3
62	인문대학	영어영문학과	3	전공기초	AIB6067001	중급영어회화(1)	INTERMEDIATE ENGLISH CONVERSATION(1	알라나 커밍스	"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"	 [SP116:목(6)] [SP403:월(6)]	오프라인	offline class	1
63	인문대학	영어영문학과	3	전공기초	AIB6067002	중급영어회화(1)	INTERMEDIATE ENGLISH CONVERSATION(1	윌리엄 데이비스	제15호관 인문대학-405 대학원세미나실[SP405]	" [SP405:월(6),목(6)]"	오프라인	offline class	1
64	인문대학	영어영문학과	3	전공필수	0004284001	영국문학사	History of English Literature	이난희	"제15호관 인문대학-306 세미나실-4[SP306], 제15호관 인문대학-403 전용어학실습실-3[SP403]"	 [SP306:화(2B-3)] [SP403:금(2B-3)]	온라인(동영상+화상)	online class	3
65	인문대학	영어영문학과	3	전공필수	0004284002	영국문학사	History of English Literature	이난희	"제15호관 인문대학-317 교육통계실습실[SP317], 제15호관 인문대학-403 전용어학실습실-3[SP403]"	 [SP317:화(5B-6)] [SP403:금(5B-6)]	온라인(동영상+화상)	online class	3
66	인문대학	영어영문학과	3	전공선택	0007865001	영미드라마와문화	English & American Drama and Culture	황승현	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:월(7-8A),수(7-8A)]"	오프라인	offline class	3
67	인문대학	영어영문학과	4	전공선택	AIB6039001	교과교재연구및지도법(영어)	STUDY ON MATERIAL AND TEACHING METHOD	김정태	"제15호관 인문대학-403 전용어학실습실-3[SP403], 제15호관 인문대학-405 대학원세미나실[SP405]"	 [SP403:목(7-8A)] [SP405:화(7-8A)]	오프라인	offline class	3
68	인문대학	영어영문학과	4	전공선택	AIB6073001	실무영작문	PRACTICAL ENGLISH COMPOSITION	알라나 커밍스	제15호관 인문대학-116 강의실(대)-2[SP116]	" [SP116:월(4),수(4)]"	오프라인	offline class	2
69	인문대학	영어영문학과	4	전공선택	AIB6074001	영어스피치와디베이트	ENGLISH SPEECH &DEBATE	윌리엄 데이비스	"제15호관 인문대학-116 강의실(대)-2[SP116], 제15호관 인문대학-403 전용어학실습실-3[SP403]"	 [SP116:월(3)] [SP403:수(3)]	오프라인	offline class	2
70	인문대학	독어독문학과	전학년	전공선택	0009062007	RISE	RISE	권혁준	-	-	오프라인	offline class	3
71	인문대학	독어독문학과	전학년	전공선택	0009062008	RISE	RISE	장제형	-	-	오프라인	offline class	3
72	인문대학	독어독문학과	전학년	전공선택	0009062009	RISE	RISE	목승숙	-	-	오프라인	offline class	3
73	인문대학	독어독문학과	1	전공기초	0007800054	자기설계세미나 I	Self - Design Seminar I	장제형	제15호관 인문대학-103 세미나실-2[SP103]	 [SP103:수(8)]	오프라인	offline class	1
74	인문대학	독어독문학과	1	전공기초	0007800055	자기설계세미나 I	Self - Design Seminar I	이원경	제15호관 인문대학-113 강의실(교육대학원)[SP113]	 [SP113:수(8)]	오프라인	offline class	1
75	인문대학	독어독문학과	1	전공기초	0007800056	자기설계세미나 I	Self - Design Seminar I	주소정	제15호관 인문대학-301 대학원강의실[SP301]	 [SP301:수(8)]	오프라인	offline class	1
76	인문대학	독어독문학과	1	전공기초	0009352001	초급독일어회화A1 1	Elementary German Conversation A1 1	미하엘멩케	제15호관 인문대학-502 전용어학실습실-2[SP502]	 [SP502:금(4)(5)]	오프라인	offline class	1
77	인문대학	독어독문학과	1	전공기초	0009352002	초급독일어회화A1 1	Elementary German Conversation A1 1	미하엘멩케	제15호관 인문대학-502 전용어학실습실-2[SP502]	 [SP502:금(7)(8)]	오프라인	offline class	1
78	인문대학	독어독문학과	1	전공기초	0009353001	초급독일어A1 1	Elementary GermanA1 1	이원경	제15호관 인문대학-502 전용어학실습실-2[SP502]	" [SP502:화(2)(3),목(7)(8)]"	오프라인	offline class	3
79	인문대학	독어독문학과	1	전공기초	0009353002	초급독일어A1 1	Elementary GermanA1 1	이원경	제15호관 인문대학-502 전용어학실습실-2[SP502]	" [SP502:화(5)(6),목(4)(5)]"	오프라인	offline class	3
80	인문대학	독어독문학과	1	전공선택	AIE6064001	독일명작의이해	UNDERSTANDING OF GERMAN MASTERPIECES	이노은	제15호관 인문대학-502 전용어학실습실-2[SP502]	" [SP502:월(5),목(2)(3)]"	오프라인	offline class	3
81	인문대학	독어독문학과	1	전공선택	AIE6071001	현대독일사회의이해	UNDERSTANDING OF CONTEMPORARY FERMAN SOCIETY	목승숙	"제15호관 인문대학-103 세미나실-2[SP103], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP103:수(5B-6)] [SP502:화(7-8A)]	오프라인	offline class	3
82	인문대학	독어독문학과	2	전공필수	0009354001	중급독일어A2 1	Intermediate GermanA2 1	주소정	"제15호관 인문대학-103 세미나실-2[SP103], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP103:월(5)(6)] [SP502:수(5)(6)]	오프라인	offline class	3
83	인문대학	독어독문학과	2	전공필수	0009354002	중급독일어A2 1	Intermediate GermanA2 1	주소정	"제15호관 인문대학-103 세미나실-2[SP103], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP103:월(7)(8)] [SP502:수(3)(4)]	오프라인	offline class	3
84	인문대학	독어독문학과	2	전공필수	0009355001	중급독일어회화 A2 1	Intermediate German Conversation A2 1	미하엘멩케	제15호관 인문대학-103 세미나실-2[SP103]	 [SP103:목(6)(7)]	오프라인	offline class	1
85	인문대학	독어독문학과	2	전공필수	0009355002	중급독일어회화 A2 1	Intermediate German Conversation A2 1	미하엘멩케	제15호관 인문대학-103 세미나실-2[SP103]	 [SP103:목(8)(9)]	오프라인	offline class	1
86	인문대학	독어독문학과	2	전공선택	0000352001	독일어문법	German Grammar	이원경	"제15호관 인문대학-211 토론식강의실1[SP211], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP211:금(4-5A)] [SP502:수(1-2A)]	오프라인	offline class	3
87	인문대학	독어독문학과	2	전공선택	0009356001	미디어학입문	Introduction to Media Studies	명정	제15호관 인문대학-103 세미나실-2[SP103]	 [SP103:월(1-2A)(2B-3)]	오프라인	offline class	3
88	인문대학	독어독문학과	2	전공선택	0009851001	독일어구문과표현	German Sentences and Expressions	박은주	제15호관 인문대학-103 세미나실-2[SP103]	 [SP103:화(5)(6)(7)]	오프라인	offline class	3
89	인문대학	독어독문학과	2	전공선택	AIE6076001	독일의일상과대중문화	GERMAN LIFE AND POPULAR CULTURE	이노은	"제15호관 인문대학-103 세미나실-2[SP103], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP103:화(2)(3)] [SP502:금(6)]	오프라인	offline class	3
90	인문대학	독어독문학과	2	전공선택	AIE6078001	독일산문	GERMAN PROSE	권혁준	제15호관 인문대학-306 세미나실-4[SP306]	" [SP306:목(2B-3),금(2B-3)]"	오프라인	offline class	3
91	인문대학	독어독문학과	2	전공선택	AIE6079001	독일문학사	HISTORY OF GERMAN LITERATURE	장제형	"제15호관 인문대학-119 강의실(중)-1[SP119], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP119:목(4-5A)] [SP502:화(8B-9)]	오프라인	offline class	3
92	인문대학	독어독문학과	3	전공선택	0000354001	독일어작문	German Composition	권혁준	제15호관 인문대학-211 토론식강의실1[SP211]	" [SP211:화(5B-6),목(5B-6)]"	오프라인	offline class	3
93	인문대학	독어독문학과	3	전공선택	0002691001	유럽지역학과EU	AREA STUDIES OF EUROPE AND EU	김혜진	제15호관 인문대학-103 세미나실-2[SP103]	 [SP103:목(2B-3)(4-5A)]	오프라인	offline class	3
94	인문대학	독어독문학과	3	전공선택	0009358001	독일소설연구	Seminar on German Novels	목승숙	"제15호관 인문대학-211 토론식강의실1[SP211], 제15호관 인문대학-503 전용어학실습실-3[SP503]"	 [SP211:화(2B-3)] [SP503:금(2B-3)]	오프라인	offline class	3
95	인문대학	독어독문학과	3	전공선택	0009360001	독일의문화도시	Cultural City in Germany	장제형	제15호관 인문대학-120 어학원강의실-1[SP120]	" [SP120:화(4-5A),목(7-8A)]"	오프라인	offline class	3
96	인문대학	독어독문학과	4	전공선택	0009363001	독일어토론1	Discussion in German 1	미하엘멩케	제15호관 인문대학-212 토론식강의실2[SP212]	 [SP212:화(2B-3)(4-5A)]	오프라인	offline class	3
97	인문대학	독어독문학과	4	전공선택	0009867001	독일시와음악	Seminar on German Poetry and Music	목승숙	제15호관 인문대학-103 세미나실-2[SP103]	" [SP103:수(2B-3),금(7-8A)]"	오프라인	offline class	3
98	인문대학	독어독문학과	4	전공선택	AIE6034001	시사독일어	CURRENT GERMAN	권혁준	제15호관 인문대학-211 토론식강의실1[SP211]	" [SP211:수(5B-6),금(5B-6)]"	오프라인	offline class	3
99	인문대학	독어독문학과	4	전공선택	AIE6053001	유럽통상학의이해	UNDERSTANDING OF EUROPEAN TRADE	미하엘멩케	제15호관 인문대학-502 전용어학실습실-2[SP502]	 [SP502:수(7-8A)(8B-9)]	오프라인	offline class	3
100	인문대학	독어독문학과	4	전공선택	AIE6061001	유럽의역사와문화	ORY & CULTURE  OF EUROPE	이노은	"제15호관 인문대학-120 어학원강의실-1[SP120], 제15호관 인문대학-502 전용어학실습실-2[SP502]"	 [SP120:화(6)] [SP502:금(2)(3)]	오프라인	offline class	3
101	인문대학	불어불문학과	전학년	전공선택	0009062010	RISE	RISE	박정준	-	-	오프라인	offline class	3
102	인문대학	불어불문학과	전학년	전공선택	0009062011	RISE	RISE	김용민	-	-	오프라인	offline class	3
103	인문대학	불어불문학과	1	전공기초	0007800047	자기설계세미나 I	Self - Design Seminar I	박정준	제15호관 인문대학-104 세미나실-3[SP104]	 [SP104:목(5)]	오프라인	offline class	1
104	인문대학	불어불문학과	1	전공기초	0007800048	자기설계세미나 I	Self - Design Seminar I	한상정	제15호관 인문대학-101 강의실(중)-2[SP101]	 [SP101:수(1)]	오프라인	offline class	1
105	인문대학	불어불문학과	1	전공기초	0007800049	자기설계세미나 I	Self - Design Seminar I	이현주	제15호관 인문대학-102 세미나실-1[SP102]	 [SP102:목(5)]	오프라인	offline class	1
106	인문대학	불어불문학과	1	전공기초	AIF6142001	기초프랑스어(1)	ELEMENTARY FRENCH(1)	이현주	"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-501 전용어학실습실-1[SP501]"	 [SP101:월(7)(8)] [SP501:목(7)(8)]	오프라인	offline class	3
107	인문대학	불어불문학과	1	전공기초	AIF6142002	기초프랑스어(1)	ELEMENTARY FRENCH(1)	이현주	제15호관 인문대학-101 강의실(중)-2[SP101]	" [SP101:수(6)(7),금(6)(7)]"	오프라인	offline class	3
108	인문대학	불어불문학과	1	전공필수	AIF6138001	기초프랑스어회화(1)	FRENCH CONVERSATION BEGINNING COURSE(1)	파비앙	"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-501 전용어학실습실-1[SP501]"	 [SP101:금(2B-3)] [SP501:수(2B-3)]	오프라인	offline class	3
109	인문대학	불어불문학과	1	전공필수	AIF6138002	기초프랑스어회화(1)	FRENCH CONVERSATION BEGINNING COURSE(1)	파비앙	제15호관 인문대학-101 강의실(중)-2[SP101]	" [SP101:월(5B-6),금(4-5A)]"	오프라인	offline class	3
110	인문대학	불어불문학과	1	전공선택	0007822001	프랑스 명저의 이해 1	Understanding French Masterpieces 1	이정환	제15호관 인문대학-101 강의실(중)-2[SP101]	" [SP101:월(4-5A),수(4-5A)]"	오프라인	offline class	3
111	인문대학	불어불문학과	2	전공필수	AIF6002001	프랑스어회화(1)	FRENCH CONVERSATION(1)	파비앙	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:월(8B-9),목(4-5A)]"	오프라인	offline class	3
112	인문대학	불어불문학과	2	전공필수	AIF6002002	프랑스어회화(1)	FRENCH CONVERSATION(1)	파비앙	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:화(4-5A),목(5B-6)]"	오프라인	offline class	3
113	인문대학	불어불문학과	2	전공선택	0007861001	프랑스 언어와 사회1	French Language and Society 1	김용민	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:월(7-8A),목(2B-3)]"	오프라인	offline class	3
114	인문대학	불어불문학과	2	전공선택	0007862001	프랑스문학강독1	Reading in French Literature 1	이영석	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:수(5B-6),금(5B-6)]"	오프라인	offline class	3
115	인문대학	불어불문학과	2	전공선택	0007867001	프랑스어문법과 작문1	French Grammar and Composition 1	박정준	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:수(4-5A),금(4-5A)]"	오프라인	offline class	3
116	인문대학	불어불문학과	2	전공선택	0009375001	예술의이해	Understanding of Art	한상정	"제15호관 인문대학-101 강의실(중)-2[SP101], 제15호관 인문대학-317 교육통계실습실[SP317]"	 [SP101:화(2)(3)] [SP317:수(2)]	오프라인	offline class	3
117	인문대학	불어불문학과	3	전공선택	0005456001	프랑스소설의이해	Study of French Novel	이정환	"제15호관 인문대학-306 세미나실-4[SP306], 제15호관 인문대학-501 전용어학실습실-1[SP501]"	 [SP306:수(5B-6)] [SP501:월(5B-6)]	오프라인	offline class	3
118	인문대학	불어불문학과	3	전공선택	0007864001	중급프랑스어회화	French Conversation on Intermediate Level	파비앙	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:월(4-5A),화(5B-6)]"	오프라인	offline class	3
119	인문대학	불어불문학과	3	전공선택	AIF6009001	중급프랑스어	FRENCH ON INTERMEDIATE LEVEL	박정준	제15호관 인문대학-501 전용어학실습실-1[SP501]	" [SP501:화(2B-3),금(2B-3)]"	오프라인	offline class	3
120	인문대학	불어불문학과	3	전공선택	AIF6051001	통상프랑스어	COMMERICAL FRENCH	김종서	제15호관 인문대학-306 세미나실-4[SP306]	 [SP306:목(4-5A)(5B-6)]	오프라인	offline class	3
121	인문대학	불어불문학과	4	전공선택	0009378001	프랑스시사탐구	French on Current Topics	김용민	제15호관 인문대학-306 세미나실-4[SP306]	" [SP306:월(5B-6),금(5B-6)]"	오프라인	offline class	3
